id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,72,2020,uplifting
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,58,2020,dreamy
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,45,2010,aggressive
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,51,2020,dreamy
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,80,2020,euphoric
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,38,2010,dreamy
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,44,2010,nostalgic
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,62,2020,nostalgic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,55,2020,dreamy
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,67,2010,uplifting
11,Smoky Quarter,Miles Beneath,jazz,moody,0.45,92,0.38,0.52,0.83,33,2000,melancholic
12,Deep Focus Drone,Calmwave,ambient,focused,0.22,55,0.45,0.30,0.95,29,2020,dreamy
13,Shred the Silence,Iron Veil,metal,intense,0.97,178,0.31,0.55,0.04,41,2010,aggressive
14,Moonlit Sonata,Elara Strings,classical,relaxed,0.18,68,0.62,0.22,0.98,25,2000,nostalgic
15,Corner Store Flow,Westside Pens,hip-hop,confident,0.71,95,0.66,0.85,0.12,74,2010,gritty
16,Rust and Rain,The Hollow Road,blues,melancholic,0.38,76,0.28,0.44,0.88,31,1990,melancholic
17,Pulse Horizon,Synthform,electronic,euphoric,0.88,140,0.79,0.91,0.06,69,2020,euphoric
18,Cabin Window,Fern and Ash,folk,peaceful,0.25,72,0.74,0.35,0.94,36,2010,nostalgic
